Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score
0.1,0.0830001831055,-244.0,1,-10000
0.1,0.137000083923,-145.0,1,-10000
0.1,0.107000112534,-128.0,1,-10000
0.1,0.0750000476837,-549.0,1,-10000
0.1,0.0239999294281,-103.0,1,-10000
0.1,0.0859999656677,-161.0,1,-10000
0.1,0.161000013351,-136.0,1,-10000
0.1,0.0339999198914,-162.0,1,-10000
0.1,0.119999885559,-139.0,1,-10000
0.1,0.222999811172,-250,1,-10000
0.25,0.230000019073,-92.0,1,-10000
0.25,0.223000049591,-128.0,1,-10000
0.25,0.237999916077,-107,1,-10000
0.25,0.253000020981,-49.0,1,-10000
0.25,0.207000017166,-102.0,1,-10000
0.25,0.213000059128,-183.0,1,-10000
0.25,0.212999820709,-22,1,-10000
0.25,0.210999965668,-115.0,1,-10000
0.25,0.225999832153,-85.0,1,-10000
0.25,0.225999832153,-75.0,1,-10000
0.5,0.464000225067,38.0,1,-10000
0.5,0.50200009346,60.0,1,-10000
0.5,0.503000020981,3.0,1,-10000
0.5,0.490000009537,-22,1,-10000
0.5,0.490000009537,23,1,-10000
0.5,0.492000102997,31,1,-10000
0.5,0.406999826431,-8,1,-10000
0.5,0.484999895096,-4,1,-10000
0.5,0.503000020981,32.0,1,-10000
0.5,0.496999979019,52.0,1,-10000
1,0.903000116348,84,1,-10000
1,0.992999792099,167.0,1,-10000
1,1.0,85.0,1,-10000
1,0.895999908447,115,1,-10000
1,1.00099992752,142.0,1,-10000
1,0.960999965668,116,1,-10000
1,1.00200009346,145.0,1,-10000
1,0.977999925613,156.0,1,-10000
1,0.953000068665,126.0,1,-10000
1,0.983999967575,70.0,1,-10000
2,2.00300002098,228.0,1,-10000
2,1.97499990463,217.0,1,-10000
2,2.00200009346,229.0,1,-10000
2,1.94099998474,206,1,-10000
2,2.0,201.0,1,-10000
2,1.9849998951,223.0,1,-10000
2,1.97300004959,237.0,1,-10000
2,1.94499993324,195.0,1,-10000
2,1.97900009155,190,1,-10000
2,1.94900012016,159,1,-10000
3,3.0,215.0,1,-10000
3,2.96799993515,224,1,-10000
3,2.95599985123,250.0,1,-10000
3,2.9849998951,237.0,1,-10000
3,2.95399999619,226.0,1,-10000
3,2.99499988556,273.0,1,-10000
3,2.89699983597,264,1,-10000
3,2.93600010872,274.0,1,-10000
3,2.93099999428,254.0,1,-10000
3,2.97500014305,263.0,1,-10000
4,3.97899985313,287.0,1,-10000
4,3.93099999428,287.0,1,-10000
4,3.9960000515,269.0,1,-10000
4,3.99899983406,293.0,1,-10000
4,3.98399996758,265.0,1,-10000
4,3.9960000515,280.0,1,-10000
4,3.95499992371,325.0,1,-10000
4,3.95700001717,319.0,1,-10000
4,3.96399998665,281.0,1,-10000
4,3.99699997902,313.0,1,-10000
5,5.0,305.0,1,-10000
5,4.98200011253,308.0,1,-10000
5,4.9279999733,261,1,-10000
5,4.96499991417,320.0,1,-10000
5,4.96200013161,307.0,1,-10000
5,4.92700004578,280.0,1,-10000
5,4.9359998703,303.0,1,-10000
5,4.96700000763,274.0,1,-10000
5,4.91499996185,265,1,-10000
5,4.97899985313,319.0,1,-10000
6,5.97000002861,329.0,1,-10000
6,5.97500014305,330.0,1,-10000
6,5.99800014496,282.0,1,-10000
6,5.94099998474,330.0,1,-10000
6,5.9279999733,280.0,1,-10000
6,5.9430000782,305,1,-10000
6,5.95799994469,310.0,1,-10000
6,5.98099994659,301.0,1,-10000
6,5.96199989319,309.0,1,-10000
6,6.0,299.0,1,-10000
7,6.97899985313,322.0,1,-10000
7,6.98699998856,310.0,1,-10000
7,6.99000000954,324.0,1,-10000
7,6.98300004005,287.0,1,-10000
7,6.96099996567,329.0,1,-10000
7,6.9960000515,318.0,1,-10000
7,6.97799992561,283.0,1,-10000
7,6.91300010681,244.0,1,-10000
7,6.90700006485,282.0,1,-10000
7,6.99599981308,327.0,1,-10000
8,7.92199993134,341.0,1,-10000
8,7.99900007248,334.0,1,-10000
8,7.97900009155,278.0,1,-10000
8,7.96599984169,300.0,1,-10000
8,7.98900008202,328.0,1,-10000
8,7.99899983406,318.0,1,-10000
8,7.9849998951,323.0,1,-10000
8,7.9849998951,311.0,1,-10000
8,7.97899985313,307.0,1,-10000
8,7.95600008965,305.0,1,-10000
9,8.90600013733,335.0,1,-10000
9,8.9960000515,338.0,1,-10000
9,8.94600009918,331.0,1,-10000
9,8.98600006104,330.0,1,-10000
9,8.9960000515,291.0,1,-10000
9,8.95000004768,338.0,1,-10000
9,8.93799996376,312.0,1,-10000
9,8.98799991608,346.0,1,-10000
9,8.9929997921,324.0,1,-10000
9,8.95499992371,347.0,1,-10000
10,9.9849998951,307.0,1,-10000
10,9.98900008202,338.0,1,-10000
10,9.99899983406,333.0,1,-10000
10,9.98600006104,322.0,1,-10000
10,9.92699980736,318.0,1,-10000
10,10.003000021,308.0,1,-10000
10,9.97399997711,344.0,1,-10000
10,9.97199988365,348.0,1,-10000
10,10.0,330.0,1,-10000
10,9.95299983025,328.0,1,-10000
