Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score
0.1,0.0340001583099,-64.0,1,-10000
0.1,0.066999912262,-40.0,1,-10000
0.1,0.00399994850159,-135.0,1,-10000
0.1,0.0709998607635,-127,1,-10000
0.1,0.0609998703003,-95.0,1,-10000
0.1,0.210999965668,-167.0,1,-10000
0.1,0.0429999828339,-76,1,-10000
0.1,0.007000207901,-68.0,1,-10000
0.1,0.0540001392365,-91,1,-10000
0.1,0.0120000839233,-125,1,-10000
0.25,0.234999895096,-82.0,1,-10000
0.25,0.223999977112,-149.0,1,-10000
0.25,0.22200012207,-105.0,1,-10000
0.25,0.240000009537,-148.0,1,-10000
0.25,0.209000110626,-53.0,1,-10000
0.25,0.242000102997,-84.0,1,-10000
0.25,0.219000101089,-34,1,-10000
0.25,0.250999927521,-79.0,1,-10000
0.25,0.115999937057,-104,1,-10000
0.25,0.230000019073,-145.0,1,-10000
0.5,0.47200012207,-31.0,1,-10000
0.5,0.483999967575,-24,1,-10000
0.5,0.49799990654,-52,1,-10000
0.5,0.459000110626,10.0,1,-10000
0.5,0.44000005722,39.0,1,-10000
0.5,0.470999956131,-20.0,1,-10000
0.5,0.46799993515,9.0,1,-10000
0.5,0.447000026703,-9.0,1,-10000
0.5,0.478000164032,-41.0,1,-10000
0.5,0.265000104904,-17.0,1,-10000
1,0.990999937057,69.0,1,-10000
1,0.877999782562,89.0,1,-10000
1,1.0,75.0,1,-10000
1,0.989000082016,100.0,1,-10000
1,0.914999961853,93.0,1,-10000
1,0.930999994278,63.0,1,-10000
1,0.950999975204,49.0,1,-10000
1,0.996999979019,-23.0,1,-10000
1,0.920000076294,109.0,1,-10000
1,0.908999919891,113,1,-10000
2,1.86299991608,195.0,1,-10000
2,1.90799999237,173.0,1,-10000
2,1.99000000954,162.0,1,-10000
2,2.0,223.0,1,-10000
2,1.96600008011,175.0,1,-10000
2,1.9960000515,215.0,1,-10000
2,1.97000002861,184.0,1,-10000
2,1.99000000954,209.0,1,-10000
2,1.94600009918,207.0,1,-10000
2,1.99599981308,174.0,1,-10000
3,2.93499994278,277.0,1,-10000
3,2.88199996948,239.0,1,-10000
3,2.9509999752,282.0,1,-10000
3,2.99700021744,272.0,1,-10000
3,2.82700014114,246.0,1,-10000
3,2.95900011063,230.0,1,-10000
3,2.98799991608,279.0,1,-10000
3,2.97800016403,290.0,1,-10000
3,2.81399989128,257.0,1,-10000
3,2.98500013351,266.0,1,-10000
4,3.97599983215,276.0,1,-10000
4,3.9880001545,280.0,1,-10000
4,3.92199993134,286.0,1,-10000
4,3.93300008774,279.0,1,-10000
4,3.99899983406,282.0,1,-10000
4,3.99000000954,269.0,1,-10000
4,3.99500012398,298.0,1,-10000
4,3.92200016975,298.0,1,-10000
4,3.98900008202,293.0,1,-10000
4,3.97000002861,236.0,1,-10000
5,4.99499988556,309.0,1,-10000
5,4.92300009727,302.0,1,-10000
5,4.94499993324,268.0,1,-10000
5,4.9319999218,289.0,1,-10000
5,4.94199991226,305.0,1,-10000
5,4.99300003052,298.0,1,-10000
5,5.0,330.0,1,-10000
5,4.99000000954,276.0,1,-10000
5,4.99000000954,321.0,1,-10000
5,4.99000000954,292.0,1,-10000
6,5.99399995804,320.0,1,-10000
6,5.93099999428,316.0,1,-10000
6,5.91100001335,303.0,1,-10000
6,5.97300004959,330.0,1,-10000
6,5.87199997902,292.0,1,-10000
6,5.96300005913,299.0,1,-10000
6,5.90900015831,291.0,1,-10000
6,5.93000006676,309.0,1,-10000
6,5.84600019455,294.0,1,-10000
6,6.00400018692,308.0,1,-10000
7,6.97399997711,314.0,1,-10000
7,6.97499990463,335.0,1,-10000
7,6.97300004959,289.0,1,-10000
7,6.98200011253,328.0,1,-10000
7,6.875,310.0,1,-10000
7,6.9960000515,323.0,1,-10000
7,6.99800014496,312.0,1,-10000
7,6.99500012398,314.0,1,-10000
7,6.99900007248,310.0,1,-10000
7,6.99699997902,295.0,1,-10000
8,7.78400015831,338.0,1,-10000
8,7.99800014496,338.0,1,-10000
8,7.97099995613,298.0,1,-10000
8,7.96700000763,324.0,1,-10000
8,7.97699999809,317.0,1,-10000
8,7.96700000763,344.0,1,-10000
8,7.98999977112,321.0,1,-10000
8,7.98599982262,337.0,1,-10000
8,7.9509999752,324.0,1,-10000
8,7.97000002861,272.0,1,-10000
9,9.00200009346,345.0,1,-10000
9,8.82699990273,337.0,1,-10000
9,8.98000001907,335.0,1,-10000
9,8.9889998436,329.0,1,-10000
9,8.99499988556,335.0,1,-10000
9,8.99699997902,307.0,1,-10000
9,9.00200009346,344.0,1,-10000
9,8.96499991417,340.0,1,-10000
9,9.00200009346,332.0,1,-10000
9,8.98600006104,318.0,1,-10000
10,10.0009999275,351.0,1,-10000
10,10.003000021,339.0,1,-10000
10,9.99099993706,360.0,1,-10000
10,9.99399995804,333.0,1,-10000
10,10.0,321.0,1,-10000
10,9.99800014496,334.0,1,-10000
10,10.0040001869,348.0,1,-10000
10,9.9849998951,336.0,1,-10000
10,9.93299984932,351.0,1,-10000
10,10.0020000935,340.0,1,-10000
