Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score
0.1,0.114000082016,-157.0,1,-10000
0.1,0.0649998188019,-207.0,1,-10000
0.1,0.100999832153,-99.0,1,-10000
0.1,0.00399994850159,-71.0,1,-10000
0.1,0.048999786377,-202,1,-10000
0.1,0.207000017166,-163.0,1,-10000
0.1,0.238000154495,-188.0,1,-10000
0.1,0.0299999713898,-196.0,1,-10000
0.1,0.167999982834,-123.0,1,-10000
0.1,0.0550000667572,-125.0,1,-10000
0.25,0.128999948502,-10.0,1,-10000
0.25,0.30999994278,-116.0,1,-10000
0.25,0.259999990463,-140.0,1,-10000
0.25,0.253000020981,-210.0,1,-10000
0.25,0.0860002040863,-128,1,-10000
0.25,0.233999967575,-99.0,1,-10000
0.25,0.236000061035,-116.0,1,-10000
0.25,0.244999885559,-306.0,1,-10000
0.25,0.235000133514,-156.0,1,-10000
0.25,0.120000123978,-665,1,-10000
0.5,0.0629999637604,-53,1,-10000
0.5,0.452999830246,9,1,-10000
0.5,0.46799993515,-35.0,1,-10000
0.5,0.463000059128,-72.0,1,-10000
0.5,0.481999874115,-86.0,1,-10000
0.5,0.450999975204,-34,1,-10000
0.5,0.478000164032,-124.0,1,-10000
0.5,0.500999927521,-95.0,1,-10000
0.5,0.473000049591,-42.0,1,-10000
0.5,0.282999992371,-67,1,-10000
1,0.94000005722,18.0,1,-10000
1,0.9390001297,55.0,1,-10000
1,0.930999994278,53.0,1,-10000
1,0.943000078201,52.0,1,-10000
1,0.934000015259,4.0,1,-10000
1,1.00099992752,52.0,1,-10000
1,0.976000070572,43,1,-10000
1,0.930999994278,38.0,1,-10000
1,0.914000034332,41.0,1,-10000
1,0.824000120163,-4.0,1,-10000
2,1.99199986458,177,1,-10000
2,1.94199991226,94.0,1,-10000
2,1.97499990463,191.0,1,-10000
2,1.95700001717,102.0,1,-10000
2,1.93700003624,125.0,1,-10000
2,1.99399995804,155.0,1,-10000
2,1.98000001907,145.0,1,-10000
2,1.98399996758,141,1,-10000
2,1.9960000515,75.0,1,-10000
2,1.99399995804,134.0,1,-10000
3,2.98599982262,223.0,1,-10000
3,2.98799991608,223.0,1,-10000
3,2.85599994659,190.0,1,-10000
3,2.98000001907,214.0,1,-10000
3,2.98200011253,209.0,1,-10000
3,3.00099992752,196.0,1,-10000
3,2.99899983406,189.0,1,-10000
3,2.8710000515,152,1,-10000
3,2.86800003052,181.0,1,-10000
3,2.96599984169,243,1,-10000
4,3.92300009727,197,1,-10000
4,3.91600012779,211,1,-10000
4,3.97500014305,237,1,-10000
4,3.97699999809,172.0,1,-10000
4,3.94099998474,223.0,1,-10000
4,3.97300004959,126.0,1,-10000
4,3.76999998093,184.0,1,-10000
4,3.87600016594,151.0,1,-10000
4,3.97399997711,203.0,1,-10000
4,3.92199993134,214,1,-10000
5,4.95999979973,235.0,1,-10000
5,4.86599993706,186.0,1,-10000
5,4.80900001526,188,1,-10000
5,4.8100001812,199,1,-10000
5,4.99800014496,202.0,1,-10000
5,4.95300006866,205,1,-10000
5,4.882999897,241.0,1,-10000
5,4.91400003433,193.0,1,-10000
5,4.99499988556,234.0,1,-10000
5,4.95700001717,243.0,1,-10000
6,5.9390001297,242.0,1,-10000
6,5.97099995613,235.0,1,-10000
6,5.98099994659,246.0,1,-10000
6,5.71099996567,263.0,1,-10000
6,5.96899986267,233.0,1,-10000
6,5.95500016212,245.0,1,-10000
6,5.96600008011,243.0,1,-10000
6,5.71199989319,242,1,-10000
6,5.9279999733,256.0,1,-10000
6,5.94800019264,200.0,1,-10000
7,6.99399995804,203.0,1,-10000
7,6.98299980164,291.0,1,-10000
7,6.78699994087,285.0,1,-10000
7,6.96799993515,254.0,1,-10000
7,6.81100010872,254.0,1,-10000
7,6.89700007439,289.0,1,-10000
7,6.78500008583,268.0,1,-10000
7,6.93300008774,267.0,1,-10000
7,6.75300002098,255,1,-10000
7,6.98699998856,247.0,1,-10000
8,7.99800014496,288.0,1,-10000
8,7.98099994659,302.0,1,-10000
8,7.99099993706,264.0,1,-10000
8,7.96600008011,286.0,1,-10000
8,7.98199987411,305,1,-10000
8,7.95300006866,241.0,1,-10000
8,7.96499991417,281.0,1,-10000
8,7.88599991798,277.0,1,-10000
8,7.9430000782,212.0,1,-10000
8,7.32600021362,228,1,-10000
9,8.88100004196,353.0,1,-10000
9,8.96799993515,300.0,1,-10000
9,8.60500001907,276.0,1,-10000
9,8.99199986458,222.0,1,-10000
9,8.99699997902,301.0,1,-10000
9,8.97000002861,288.0,1,-10000
9,8.78399991989,320.0,1,-10000
9,8.97199988365,295.0,1,-10000
9,8.97200012207,288,1,-10000
9,8.93099999428,312.0,1,-10000
10,9.992000103,295.0,1,-10000
10,9.93400001526,296.0,1,-10000
10,9.88800001144,299.0,1,-10000
10,9.92100000381,303.0,1,-10000
10,10.003000021,315.0,1,-10000
10,9.97800016403,306.0,1,-10000
10,9.9470000267,295.0,1,-10000
10,9.97300004959,313.0,1,-10000
10,9.90900015831,305.0,1,-10000
10,10.0039999485,272.0,1,-10000
